value;label;revenue
0020-6107;IF INVERSION GLOBAL FMIV -0.01;-0.01
0130-6104;CREDICORP CAPITAL CUPON ESCALONADO IX FMIV -0.01;-0.01
0115-6104;CREDICORP CAPITAL MERCADOS DESARROLLADOS DOLARES 3 FMIV -0.09;-0.09
0137-6104;CREDICORP CAPITAL BARRERA CONDICIONAL IV FMIV -0.23;-0.23
0046-38036;BBVA OPORTUNIDAD ESPECIAL SOLES 3 FMIV -0.4;-0.4
0039-38036;FONDO DE FONDOS BBVA BONOS GLOBALES FMIV -0.41;-0.41
0047-67343;SF RENDIMIENTO BINARIO DOLARES V FMIV -0.42;-0.42
0053-6107;IF III OPCION ESTRATEGICA DOLARES FMIV -0.54;-0.54
0036-113223;SURA RENTA PERIODICA I DOLARES FMIV -0.57;-0.57
0113-6104;CREDICORP CAPITAL RENTA EN DOLARES 4Y II FMIV -0.63;-0.63
0147-6104;CREDICORP CAPITAL BARRERA CONDICIONAL VI FMIV (PROGRAMA: BARRERA CONDICIONAL) -0.67;-0.67
0038-6104;CREDICORP  CAPITAL RENTA EN DOLARES I (ANTES CREDICORP CAPITAL RENTA FIJA DOLARES I FMIV) -0.68;-0.68
0108-6104;CREDICORP CAPITAL CUPON DINAMICO II FMIV -0.74;-0.74
0044-67343;SCOTIA FONDO DE FONDOS ACCIONES EUROPA FMIV -0.92;-0.92
0124-6104;CREDICORP CAPITAL CUPON ESCALONADO VIII FMIV -0.98;-0.98
0060-67343;SF RENDIMIENTO BINARIO DOLARES VII FMIV -1.0;-1.0
0122-6104;CREDICORP CAPITAL CUPON ESCALONADO VI FMIV -1.04;-1.04
0132-6104;CREDICORP CAPITAL CUPON ESCALONADO XII FMIV -1.23;-1.23
0133-6104;CREDICORP CAPITAL CUPON ESCALONADO XIII FMIV -1.5;-1.5
0128-6104;CREDICORP CAPITAL CUPON ESCALONADO X FMIV -1.51;-1.51
0064-6107;IF V OPCION ESTRATEGICA SOLES FMIV -1.88;-1.88
0050-6107;IF CUPON LATAM FMIV -2.06;-2.06
0061-6107;IF IV OPCION ESTRATEGICA DOLARES FMIV -2.46;-2.46
0029-38036;BBVA LATAM-PACIFICO FMIV -3.36;-3.36
0017-67343;SCOTIA FONDO ESTRATEGIA LATAM FMIV -3.47;-3.47
0053-67343;SF RENDIMIENTO MEJORADO SOLES IV FMIV -3.54;-3.54
0052-6107;IF IV OPCION ESTRATEGICA SOLES FMIV -4.61;-4.61
0025-6104;FONDO DE FONDOS CREDICORP CAPITAL ACCIONES LATAM - PACIFICO  FMIV  -5.64;-5.64
0052-6104;CREDICORP CAPITAL RENTA FIJA DOLARES V FMIV None;
